Sequence,Object,Spec Type,V,B-V,J,J_err,H,H_err,K,K_err,J-K,Ref. B-L,H_alpha,H_alpha_err,Ref. N-O,P_orb (d),P_orb (d) II,Ref. Q & R,P_spin (s),P_spin (s)II,Ref S,e,e_err,Ref. U-V,ax sini (lt-sn),ax_err,Ref. X,Activity Type,Note
1,SXP4.78,B0.5-B2 Ve,15.6,0,14.54,0.01,14.58,0.01,14.65,0.02,-0.11,"C-7,8 D-6, Rest-11",43.7,1.1,1,"34.1,23.9, (1.805)",0,"26, (6)",4.78,0,1,0,0,0,0,0,0,"I,II","Two different Opt counterparts suggested for this source, Type II monageng 2019"
2,SXP7.92,B1 Ve,15.72,-0.08,16.1,0.08,15.97,0.17,15.6,0,0.5,"C-12, Rest-2",0,0,0,40,0,12,7.92,0,"1,2",0,0,0,0,0,0,I,"shows outbursts every 40.03 days in OGLE II data, correct optical counterpart is
2MASS J00575856−7222290."
3,SXP11.6,0,15,-0.6,14.48,0.04,14.45,0.05,14.19,0.08,0.29,2,0,0,0,35.6,35.1,"22, (55)",11.58,0,2,0,0,0,0,0,0,I,Bridge Object
4,SXP11.87,B1.5-B2.5 Ve,15.02,-0.12,14.67,0.01,14.62,0.01,14.53,0.02,0.14,"C-15, Rest-2",3.5,0.6,15,0,0,0,11.87,0,2,0,0,0,0,0,0,0,
5,SXP15.6,B0 IV-Ve,14.93,-0.24,14.81,0.03,14.82,0.06,14.87,0.12,-0.06,"C-16, Rest-2",0,0,0,36.432,(36.82),"16, (18)",16.6398,0,17,0,0,0,0,0,0,I,
6,SXP16.6,0,0,0,0,0,0,0,0,0,0,--,0,0,0,33.72,0,"1,2",16.6,0,"1,2",0,0,0,0,0,0,0,
7,SXP18.3,B2 Ve,15.96,0.05,15.87,0.1,15.12,0,15.58,0.23,0.29,"C-19, Rest-2",0,0,0,17.79,0,"1,2",18.38,0,"1,2",0.43,0.03,19,75,3,19,"I,II",
8,SXP51.0,Same source as SXP 25.5 ?,,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,51,0,1,0,0,0,0,0,0,0,
9,SXP95.2,0,0,0,0,0,0,0,0,0,0,--,0,0,0,"71.3, (280)",0,"2, (27)",95.2,0,1,0,0,0,0,0,0,0,No confirmed or 100% confident level detected orbital period
10,SXP101,B3 – B5 Ib-II,15.67,0.14,15.64,0.01,15.57,0.02,15.38,0.03,0.26,"1,2",7.8,0,1,21.9,0,"1,2",101.4,0,"1,2",0,0,0,0,0,0,0,Optical counterpart's spectral type not confirmed yet
11,SXP144,0,0,0,0,0,0,0,0,0,0,--,0,0,0,59.4,0,"1,2",144.1,0,"1,2",0,0,0,0,0,0,I,
12,SXP152,B1-B2.5 III-Ve,15.7,-0.03,15.36,0.01,15.19,0.02,14.98,0.02,0.38,1,19.8,0,2,0,0,0,152.1,0,"1,28",0,0,0,0,0,0,0,
