Sequence,Object,Spec Type,V,B-V,J,J_err,H,H_err,K,K_err,J-K,Ref. B-L,H_alpha,H_alpha_err,Ref. N-O,P_orb (d),P_orb (d) II,Ref. Q,P_spin (s),P_spin (s) II,Ref S,e,e_err,Ref. U-V,ax sini (lt-sn),ax_err,Ref. X,Activity Type,Note
1,SXP2.37,O9.5 III-Ve,15.05,0.06,15.1,0.02,15.01,0.02,14.85,0.03,0.25,1,7.9,0.6,1,18.6,0,1,2.37,0,1,0.07,0.02,1,73.7,0.9,5,II,
2,SXP2.76,B1 IIIe,14.01,0.06,13.96,0.02,13.84,0.02,13.63,0.02,0.33,1,20.6,0.5,1,82.4,0,2,2.76,0,1,0,0,0,0,0,0,"I,II",
3,SXP3.34,B1-B2 III-Ve,15.63,-0.01,15.66,0.01,15.56,0.02,15.45,0.04,0.21,1,85.2,8.9,1,10.72,0,1,3.34,0,1,0,0,0,0,0,0,I(?),
4,SXP5.05,B0.5 e,15.96,-0.2,15.65,0.06,15.63,0.14,15.07,0.15,0.58,"C-9, Rest-2",8,0,10,17.2,0,1,5.05,0,1,0.16,0,1,142.4,2.5,10,"I,F",
5,SXP6.85,O9.5-B0 IV-Ve,14.6,0,14.82,0.02,14.74,0.02,14.57,0.02,0.25,1,3.8,0,1,21.9,0,2,6.85,0,"1,2",0.26,0.03,5,151,6,5,"I,II",
6,SXP7.78,B1-B1.5 IV-Ve,14.9,0,14.8,0.01,14.7,0.01,14.5,0.01,0.3,1,15.5,0.4,11,44.9,0,11,7.78,0,1,0.244,0.005,11,190.3,1.3,11,"I,II",
7,SXP8.80-8.88,O9.5-B0 IV-Ve,14.87,-0.27,14.7,0.01,14.64,0.02,14.56,0.02,0.14,1,10.2,0.6,13,28.5,0,2,8.9,0,"1,2",0.41,0.04,5,112,0,5,"I,II",
8,SXP9.13,B1-B3 IV-Ve,16.5,0.1,16.23,0.02,16.02,0.03,15.8,0.04,0.43,1,44.2,3.5,1,77.2,0,2,9.13,0,"1,2",0,0,0,0,0,0,I,
9,SXP11.5,O9.5-B0 IV-Ve,14.8,0,14.21,0.08,13.75,0.06,13.74,0.04,0.47,1,8,0.5,14,36.3,0,"1,2",11.48,0,"1,2",0.28,0.03,1,167,7,14,"I,II",
10,SXP15.3,O9.5-B0 III-Ve,14.7,-0.01,14.4,0.02,14.3,0.01,14.12,0.01,0.28,,25.1,1.5,1,74.3,0,1,15.3,0,"1,2",0,0,0,0,0,0,I,
